item,price,link
Ancilla,0,ragnarok.uol.com.br/database/thor/itens/detalhes/ansila
Anel da Allysia,0,ragnarok.uol.com.br/database/thor/itens/detalhes/elysia_ring
Anel de Andvari,0,ragnarok.uol.com.br/database/thor/itens/detalhes/andvari_ring
Anel de Goblin (Adaga),0,ragnarok.uol.com.br/database/thor/itens/detalhes/knife_goblin_ring
Abrasivo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/abrasive
Acarajé,0,ragnarok.uol.com.br/database/thor/itens/detalhes/acaraje
Água Milagrosa [50],0,ragnarok.uol.com.br/database/thor/itens/detalhes/mysterious_water_box50
Anel de Goblin (Mangual),0,ragnarok.uol.com.br/database/thor/itens/detalhes/flail_goblin_ring
Anel de Goblin (Martelo),0,ragnarok.uol.com.br/database/thor/itens/detalhes/hammer_goblin_ring
Anel de Lope,0,ragnarok.uol.com.br/database/thor/itens/detalhes/ring_of_lope
Anel Vermelho,0,ragnarok.uol.com.br/database/thor/itens/detalhes/red_ring
Antídoto,0,ragnarok.uol.com.br/database/thor/itens/detalhes/guillotine_antidote
Antiga Jóia dos Esplêndidos,0,ragnarok.uol.com.br/database/thor/itens/detalhes/old_left_lapine
Alforje de Couro do Infinito,0,ragnarok.uol.com.br/database/thor/itens/detalhes/leather_bag_of_infinity
A Lenda de Songkran,0,ragnarok.uol.com.br/database/thor/itens/detalhes/legendary_scroll
Abóbora de Decoração,0,ragnarok.uol.com.br/database/thor/itens/detalhes/pumpkin_decorations
Abóbora Firme,0,ragnarok.uol.com.br/database/thor/itens/detalhes/firm_pumpkin
Água-Viva Temperada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/vit_dish04
Agulha e Linha,0,ragnarok.uol.com.br/database/thor/itens/detalhes/needle_and_thread
Álbum de Fotos de Amatsu,0,ragnarok.uol.com.br/database/thor/itens/detalhes/photo_album_01
Álbum de Fotos de Ayothaya,0,ragnarok.uol.com.br/database/thor/itens/detalhes/photo_album_04
Álbum de Fotos de Kunlun,0,ragnarok.uol.com.br/database/thor/itens/detalhes/photo_album_02
Álbum de Fotos de Louyang,0,ragnarok.uol.com.br/database/thor/itens/detalhes/photo_album_03
Alma Capturada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/captured_soul
Alma de Ahat,0,ragnarok.uol.com.br/database/thor/itens/detalhes/soul_of_ahat
Alma de Shenime,0,ragnarok.uol.com.br/database/thor/itens/detalhes/soul_of_shnaim
Alma Sombria,0,ragnarok.uol.com.br/database/thor/itens/detalhes/black_soul
Assado Inteiro,0,ragnarok.uol.com.br/database/thor/itens/detalhes/str_dish07
Assistente Alice,0,ragnarok.uol.com.br/database/thor/itens/detalhes/alice_scroll
Arpão de Caçar Polvos,0,ragnarok.uol.com.br/database/thor/itens/detalhes/octopus_hunt_stick
Assistente Mascarado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/disguise_scroll
Assistente Mímico,0,ragnarok.uol.com.br/database/thor/itens/detalhes/mimic_scroll
Avelã Verde,0,ragnarok.uol.com.br/database/thor/itens/detalhes/unripe_acorn
Amor Demais,0,ragnarok.uol.com.br/database/thor/itens/detalhes/love_ball
Amostra Coletada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/collected_sample
Amuleto do Fantasma Livre,0,ragnarok.uol.com.br/database/thor/itens/detalhes/goast_free_charm
Amuleto do Infortúnio,0,ragnarok.uol.com.br/database/thor/itens/detalhes/sign_of_destruction
Arquivo Estragado,0,ragnarok.uol.com.br/database/thor/itens/detalhes/rough_file
Arquivo Limpo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/neat_report
Asa de Borboleta de Iniciante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/n_butterfly_wing
Asa de Corvo,0,ragnarok.uol.com.br/database/thor/itens/detalhes/wing_of_crow
Asa de Morcego com Abóbora no Vapor,0,ragnarok.uol.com.br/database/thor/itens/detalhes/agi_dish05
Asa de Mosca de Iniciante,0,ragnarok.uol.com.br/database/thor/itens/detalhes/n_fly_wing
Asa de Mosca Ilimitada,0,ragnarok.uol.com.br/database/thor/itens/detalhes/c_wing_of_fly
Apagador,0,ragnarok.uol.com.br/database/thor/itens/detalhes/clean_brush
