monster,item,dropRate,link
Elemental,Garrafa Pequena,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/w_aqua_elemental
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Hugeling,Maçã,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/hugeling
Fenris Fenrir,Carta Fenris Fenrir,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenris Fenrir,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenris Fenrir,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenris Fenrir,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenris Fenrir,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenris Fenrir,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenris,5%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Fenris Fenrir,Carta Fenrir,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/geffen_fenrir
Sonata,Poção Branca,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere2
Sonata,Monte de Lama,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere2
Sonata,Cristal Azul,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere2
Sonata,Gelo Místico,0.25,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere2
Adagio,Monte de Lama,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere3
Adagio,Vida Verdejante,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere3
Adagio,Natureza Grandiosa,0.25,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere3
Adagio,Contrabaixo [2],0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere3
Minueto,Monte de Lama,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere4
Minueto,Cristal Azul,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere4
Minueto,Gelo Místico,0.25,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere4
Minueto,Fita Rítmica [2],0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/pere4
Verme com Rosto,Velho Pergaminho,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm
Verme com Rosto,Líquido Fluorescente,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm
Verme com Rosto,Detrimindexta,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm
Verme com Rosto,Karvodailnirol,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm
Verme com Rosto,Perna de Verme com Rosto [1],0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm
Constant,Peça Queimada,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/constant
Constant,Pedaço de Ferro Sólido,15%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/constant
Constant,Tubo Flexível,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/constant
Constant,Aço,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/constant
Constant,Minério de Elunium,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/constant
Dramoh Rei,Cubo de Gelo,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Dramoh Rei,Garra de Crustáceo,50%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Dramoh Rei,Casca Rija,50%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Dramoh Rei,Partículas de Luz,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Dramoh Rei,Gelo Místico,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Dramoh Rei,Clava com Espetos,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Dramoh Rei,Carta Dramoh Rei,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/king_dramoh
Algoz Eremes,Carnium,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_eremes
Algoz Eremes,Velha Caixa Roxa,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_eremes
Atiradora Cecil,Carnium,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_shecil
Atiradora Cecil,Velha Caixa Roxa,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_shecil
Arquimaga Kathryne,Carnium,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_katrinn
Arquimaga Kathryne,Velha Caixa Roxa,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_katrinn
Lorde Seyren,Carnium,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_seyren
Lorde Seyren,Velha Caixa Roxa,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_seyren
Mestre-ferreiro Howard,Carnium,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_harword
Mestre-ferreiro Howard,Velha Caixa Roxa,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_harword
Sacerdotisa Margaretha,Carnium,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_magaleta
Sacerdotisa Margaretha,Velha Caixa Roxa,0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/g_magaleta
Verme Sombrio com Rosto,Velho Pergaminho,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm_dark
Verme Sombrio com Rosto,Perna de Verme com Rosto [1],0.1,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/faceworm_dark
Marionete Demoníaca,Ferro Enferrujado,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/xm_marionette
Marionete Demoníaca,Barreira de Fogo Nível 5,0.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/xm_marionette
Marionete Demoníaca,Gota das Trevas,10%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/xm_marionette
Marionete Demoníaca,Fumaça Negra,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/xm_marionette
Trilobita,Cyfar,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Trilobita,Casca Rija,3.8,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Trilobita,Aloe Vera,2%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Trilobita,Vida Verdejante,1.6,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Trilobita,Poeira Estelar,1.4,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Trilobita,Minério de Elunium,1.06,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Trilobita,Carta Trilobita,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/tri_joint
Sacerdote Maldito,Poção Azul,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/dark_priest
Sacerdote Maldito,Gema Vermelha,4.5,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/dark_priest
Sacerdote Maldito,Mão Divina,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/dark_priest
Sacerdote Maldito,Crânio,30%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/dark_priest
Sacerdote Maldito,Livro do Apocalipse,0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/dark_priest
Sacerdote Maldito,Carta Sacerdote Maldito,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/dark_priest
Dark Lord,Caixa Convidativa,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_dark_lord
Dark Lord,Minério de Elunium,0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_dark_lord
Dark Lord,Bastão Arcano,8%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_dark_lord
Dark Lord,Kronos,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_dark_lord
Dark Lord,Adaga Sinistra,3%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_dark_lord
Dark Lord,Carta Ilusão das Trevas,0.01,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/e_dark_lord
Megalith,Zargônio,1%,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/megalith
Megalith,Pedra,0.05,https://ragnarok.uol.com.br/database/thor/monstros/detalhes/megalith
